,DG,tgan,par,missing,interpolated
0.2,8.176544969484892,11.230678524299655,14.288812665627324,10.625731934500399,7.8063728457455905
0.4,9.61338334068786,14.226918118322935,22.89534445524749,16.83425465297118,8.712052017725592
0.6,10.179888016177461,15.560139372171882,33.666059405770795,31.790406207136872,10.33945680862045
0.8,10.642283411929924,14.276909577136168,31.56185074440344,53.96567734568419,12.546467438915752
0.9,11.779410497462736,14.978837959070296,26.478537177295998,54.04767695001856,13.925452218107262
